area_type,location,size,total_sqft,bath,balcony,price
3,Sampigehalli,3,1592,3.0,2.0,75.0
0,Akshaya Nagar,2,1388,2.0,3.0,57.0
0,Electronic City Phase II,1,630,1.0,1.0,28.35
1,RMV,3,2000,3.0,2.0,365.0
0,Banashankari3rd stage bigbazar,3,1762,3.0,1.0,125.0
0,Bagalur Main Road,2,950,2.0,2.0,50.0
0,Kodihalli,4,3252,5.0,3.0,335.0
0,Magadi Road,2,1116,2.0,1.0,50.0
0,Narayanapura,2,1308,2.0,2.0,89.04
0,MS Pallya,3,1200,3.0,0.0,90.0
1,Binny Mills Employees Colony,4,1500,4.0,2.0,230.0
2,Bannerghatta Road,1,500,1.0,1.0,18.5
0,Hennur,2,1075,2.0,1.0,52.0
0,Chandapura,1,530,1.0,0.0,11.66
2,Bellandur,2,1205,2.0,3.0,66.0
0,5th Phase JP Nagar,2,1075,2.0,2.0,60.0
2,KR Puram,2,930,2.0,2.0,39.0
0,Balagere,2,1380,2.0,1.0,60.0
0,Hebbal,4,2483,5.0,2.0,212.0
2,Kodigehaali,2,1166,2.0,2.0,55.0
0,Bannerghatta Road,2,1050,2.0,1.0,65.0
0,Begur Road,2,1200,2.0,2.0,46.8
0,Lakshminarayana Pura,3,1600,2.0,1.0,108.0
0,Billekahalli,3,1935,3.0,2.0,110.0
0,8th Phase JP Nagar,1,451,1.0,0.0,29.9
0,Electronic City,3,1800,3.0,2.0,95.0
0,Jalahalli,3,1400,3.0,0.0,77.0
0,Hegde Nagar,3,1801,3.0,2.0,115.0
1,Anekal,2,1200,1.0,1.0,36.0
0,Begur Road,2,1160,2.0,2.0,44.0
2,Kengeri,2,1000,2.0,1.0,25.0
0,Kanakpura Road,2,950,2.0,1.0,40.0
2,"Hoodi Circle, ",3,1629,3.0,2.0,79.0
2,Vijayanagar,3,1580,2.0,0.0,134.0
0,Vijayanagar,3,1826,3.0,2.0,121.0
2,7th Phase JP Nagar,2,1245,2.0,1.0,94.0
0,Raja Rajeshwari Nagar,2,1145,2.0,2.0,45.79
0,Sompura,2,825,2.0,1.0,33.0
0,Yeshwanthpur,3,1693,3.0,3.0,108.0
2,Ashirvad Colony,2,1460,2.0,1.0,58.0
2,Doddathoguru,2,1050,2.0,1.0,32.0
2,Dodda Nekkundi,2,1260,2.0,2.0,55.0
2,Hosur Road,2,1656,2.0,1.0,120.0
0,Chandapura,3,1208,3.0,1.0,45.0
0,Whitefield,3,1910,3.0,2.0,161.0
0,Whitefield,4,3252,4.0,1.0,230.0
1,Battarahalli,2,1200,2.0,1.0,65.0
0,Gokula Extension,4,1200,4.0,1.0,175.0
0,7th Phase JP Nagar,2,1175,2.0,1.0,82.0
1,Kamakshipalya,2,1000,2.0,0.0,165.0
1,Bannerghatta Road,4,1200,2.0,0.0,125.0
0,Rajaji Nagar,3,2390,3.0,2.0,410.0
1,Sultan Palaya,2,550,1.0,1.0,62.0
0,Kengeri,2,750,2.0,1.0,38.0
1,Mahalakshmi Layout,6,1200,7.0,3.0,250.0
0,Kanakpura Road,3,1550,3.0,3.0,64.5
2,Amco Colony,3,1760,3.0,2.0,88.0
0,Billekahalli,2,1125,2.0,2.0,62.0
1,Nagarbhavi,3,1350,3.0,2.0,150.0
1,Anandapura,2,1000,2.0,1.0,55.0
2,Bommasandra Industrial Area,2,1090,2.0,2.0,31.48
1,TC Palaya,2,1200,2.0,0.0,60.0
0,Budigere,3,1991,4.0,2.0,103.0
0,Bommasandra,2,1060,2.0,1.0,26.5
0,Ambalipura,2,1105,2.0,1.0,75.0
2,Hoodi,2,985,2.0,2.0,67.0
1,Chandapura,6,1533,5.0,3.0,85.0
0,Balagere,3,1590,3.0,2.0,79.0
0,CV Raman Nagar,2,1120,2.0,2.0,55.0
0,Samethanahalli,2,1069,2.0,1.0,55.0
0,Marathahalli,3,1933,3.0,2.0,140.0
2,Hosur Road,2,1194,2.0,0.0,69.0
0,Brookefield,2,1150,2.0,3.0,69.0
0,Yelenahalli,2,1240,2.0,2.0,47.12
0,Raja Rajeshwari Nagar,2,1419,2.0,2.0,48.1
0,Suddaguntepalya,3,1450,3.0,2.0,55.0
0,Udayapur Village,3,1630,3.0,2.0,68.29
0,Dasanapura,2,708,1.0,1.0,40.0
1,Kasavanhalli,3,1000,4.0,3.0,110.0
0,Bellandur,2,1250,2.0,1.0,76.0
0,7th Phase JP Nagar,3,1400,2.0,1.0,95.0
0,Sarjapur  Road,3,1670,2.0,3.0,57.0
0,Ardendale,3,1750,3.0,2.0,100.0
0,Vittasandra,2,1404,2.0,1.0,71.0
0,Hoodi,3,1715,2.0,2.0,95.0
2,Electronic City,1,630,1.0,1.0,34.65
0,Hulimavu,3,1650,3.0,2.0,78.0
0,Raja Rajeshwari Nagar,2,1295,2.0,1.0,55.47
1,Giri Nagar,3,1800,3.0,2.0,252.0
0,Sarjapur  Road,2,1346,2.0,1.0,74.03
1,Thippasandra,4,1200,4.0,2.0,200.0
0,Hormavu,2,1150,2.0,2.0,55.0
2,Chikkabidarakallu,4,3309,4.0,3.0,325.0
0,Chandapura,3,1190,2.0,2.0,30.35
0,AECS Layout,3,1620,3.0,2.0,98.0
0,Marathahalli,2,950,2.0,1.0,46.96
0,1 Giri Nagar,1,5000,9.0,3.0,360.0
0,Harlur,3,2450,3.0,0.0,120.0
0,Electronic City Phase II,3,1220,2.0,1.0,35.23
0,Hoysalanagar,2,850,2.0,1.0,30.0
2,Padmanabhanagar,2,1020,2.0,2.0,63.0
2,Chikkalasandra,2,1100,2.0,2.0,50.0
0,Defence Colony,2,1150,2.0,2.0,126.0
0,Hebbal,3,1760,2.0,2.0,130.0
0,Ambalipura,3,1800,3.0,3.0,110.0
0,Akshaya Nagar,2,1070,2.0,1.0,54.0
1,2nd Stage Nagarbhavi,4,1500,4.0,2.0,220.0
1,Vidyaranyapura,2,1440,2.0,0.0,95.0
0,Amruthahalli,2,900,2.0,1.0,40.0
2,ITI Employees Layout,4,1200,4.0,1.0,230.0
0,Whitefield,2,1130,2.0,1.0,42.16
0,Koramangala,2,1320,2.0,1.0,165.0
0,Kodigehalli,2,1270,2.0,1.0,98.0
2,Patelappa Layout,2,1200,2.0,1.0,62.0
0,NS Palya,2,1200,2.0,1.0,74.0
0,Subramanyapura,2,929,2.0,0.0,50.17
2,RMV 2nd Stage,4,1150,4.0,2.0,260.0
1,Basavangudi,4,1125,4.0,3.0,180.0
1,Kenchenahalli,5,500,3.0,2.0,65.0
1,3rd Block Hrbr Layout,5,1200,5.0,2.0,190.0
0,KUDLU MAIN ROAD,3,1464,3.0,2.0,56.0
0,7th Phase JP Nagar,4,3600,4.0,3.0,400.0
1,Bank Avenue,4,2000,4.0,2.0,99.0
0,Chikkalasandra,2,1208,2.0,1.0,49.0
0,Hebbal Kempapura,2,1130,2.0,2.0,60.0
0,Surabhi Layout,3,1753,3.0,2.0,120.0
0,Old Madras Road,5,4500,7.0,3.0,337.0
1,Banjara Layout,3,600,3.0,2.0,58.0
0,Hoodi,2,1196,2.0,2.0,94.42
2,5th Phase JP Nagar,2,1150,3.0,3.0,52.5
0,Electronic City,2,1128,2.0,1.0,63.0
0,Omkar Nagar,2,1000,2.0,1.0,53.0
0,Yelahanka,2,1035,2.0,1.0,45.0
2,Kereguddadahalli,2,950,2.0,1.0,32.0
0,Bisuvanahalli,3,1075,2.0,1.0,36.0
0,Whitefield,2,1040,2.0,1.0,48.5
1,Maragondanahalli,2,720,2.0,1.0,45.0
0,Lingadheeranahalli,3,1511,3.0,1.0,95.0
2,Silk Board,3,1300,3.0,1.0,58.0
0,Hoodi,3,1545,3.0,1.0,68.75
2,Shampura,1,375,2.0,0.0,26.0
0,Vidyaranyapura,2,1062,2.0,3.0,38.0
0,Kada Agrahara,2,1115,2.0,1.0,40.0
0,JP Nagar,2,1000,2.0,1.0,35.0
0,Kambipura,2,883,2.0,1.0,45.0
0,Sarjapur  Road,2,1195,2.0,1.0,70.0
1,BHEL Layout,4,1200,3.0,1.0,165.0
2,Medahalli,1,700,1.0,0.0,41.0
0,Vittasandra,2,1246,2.0,1.0,67.0
1,8th Phase JP Nagar,4,660,4.0,2.0,90.0
1,Banashankari Stage III,4,8500,4.0,2.0,145.0
0,Kashi Nagar,4,1600,4.0,1.0,80.0
0,Haralur Road,4,2805,5.0,3.0,154.0
1,Sector 7 HSR Layout,4,3000,5.0,1.0,275.0
2,Hosur Road,3,1175,2.0,2.0,48.0
2,"Yemlur, Old Airport Road, ",3,1595,3.0,2.0,115.0
0,VHBCS Layout,2,1353,2.0,2.0,110.0
0,Electronic City,3,1599,3.0,2.0,125.0
0,Whitefield,2,1150,2.0,1.0,70.0
0,Jakkur,4,5230,6.0,1.0,465.0
0,KR Puram,2,1155,2.0,2.0,42.74
2,Ittamadu,1,1200,2.0,0.0,85.0
0,Electronic City Phase II,2,1000,2.0,1.0,25.0
2,Rajiv Nagar,3,1867,3.0,1.0,160.0
0,Ramagondanahalli,2,1251,2.0,1.0,47.0
0,Gattahalli,2,1028,2.0,1.0,45.5
0,Arekere,2,1222,2.0,2.0,45.0
0,Bannerghatta Road,3,1170,2.0,1.0,66.0
0,Hebbal,3,2400,4.0,1.0,245.0
0,Ramanjaneyanagar,3,1385,2.0,2.0,48.48
0,HSR Layout,2,1372,2.0,1.0,68.0
0,Magadi Road,3,1282,2.0,2.0,49.0
0,Mico Layout,9,5000,9.0,3.0,210.0
2,7th Block Jayanagar,5,3000,3.0,1.0,528.0
0,Kanakpura Road,2,1135,2.0,1.0,39.73
2,Whitefield,3,1768,3.0,2.0,101.0
2,Byatarayanapura,3,1325,2.0,1.0,90.0
0,Electronic City,3,1599,3.0,2.0,99.0
1,Whitefield,3,1500,3.0,1.0,61.95
1,2nd Phase JP Nagar,3,2610,3.0,0.0,499.0
0,Uttarahalli,2,1286,2.0,2.0,63.0
